Li,B,C,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Y,Zr,Nb,Mo,Sn,Hf,Ta,W,Phases,HV,Delta,Gamma,Enthalpy of Mixing,Electronegativity,VEC,Configurational Entropy,Weighted Melting Temperature,Yang Parameter,Asymmetry,e/a
0,0,0,0,0.181818182,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0,0,0,BCC + Im,,5.755162633,1.169128353,-11.43801655,0.158979182,7.090909098,14.69798669,1521.240002,1.954811412,0.3669741,1.430000001
0,0,0,0,0.181818182,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0,0,0,BCC + Im,796,5.755162633,1.169128353,-11.43801655,0.158979182,7.090909098,14.69798669,1521.240002,1.954811412,0.3669741,1.430000001
0,0,0,0,0.181818182,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0,0,0,BCC + Im,715,5.755162633,1.169128353,-11.43801655,0.158979182,7.090909098,14.69798669,1521.240002,1.954811412,0.3669741,1.430000001
0,0,0,0,0.181818182,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0.090909091,0,0,0,0,B2 + Im,730,5.755162633,1.169128353,-11.43801655,0.158979182,7.090909098,14.69798669,1521.240002,1.954811412,0.3669741,1.430000001
0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0.25,0,0,0,0,0,0.083333333,0,0,0,0,FCC + B2 + Im,586,5.610029219,1.169343653,-11.5277778,0.154567048,7.33333334,14.5349732,1515.720001,1.911118515,0.352313595,1.407500002
0,0,0,0,0.153846154,0,0,0,0,0.153846154,0,0.153846154,0.153846154,0.307692308,0,0,0,0,0,0.076923077,0,0,0,0,FCC + B2 + Im,395,5.470647569,1.169526345,-11.45562132,0.150391993,7.538461546,14.23307239,1511.049232,1.877407824,0.339278097,1.38846154
0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0.166666667,0.25,0.166666667,0,0,0,0,0,0.083333333,0,0,0,0,BCC + Im,741,5.590730138,1.169319699,-11.08333336,0.153342391,7.250000007,14.5349732,1519.053334,1.992126267,0.350959777,1.396666668
0,0,0,0,0.153846154,0,0,0,0,0.153846154,0,0.153846154,0.307692308,0.153846154,0,0,0,0,0,0.076923077,0,0,0,0,FCC + BCC + Im,586,5.436637093,1.169482013,-10.69822487,0.14824017,7.384615392,14.23307239,1517.203078,2.018508818,0.336873927,1.36846154
0,0,0,0,0.166666667,0,0,0,0,0.166666667,0,0.25,0.166666667,0.166666667,0,0,0,0,0,0.083333333,0,0,0,0,BCC + Im,635,5.631334724,1.169367616,-10.50000003,0.152285824,7.166666674,14.5349732,1522.636668,2.107760295,0.350716453,1.398333335
0,0,0,0,0.153846154,0,0,0,0,0.153846154,0,0.307692308,0.153846154,0.153846154,0,0,0,0,0,0.076923077,0,0,0,0,BCC + Im,639,5.508115624,1.169570705,-9.704142031,0.146372306,7.230769238,14.23307239,1523.818463,2.234985682,0.336443523,1.371538463
0,0,0,0,0.25,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0.083333333,0,0,0,0,BCC + Im,655,6.226149559,1.168457975,-13.19444447,0.162196297,6.750000009,14.5349732,1449.496668,1.596762583,0.418981752,1.561666668
0,0,0,0,0.307692308,0,0,0,0,0.153846154,0,0.153846154,0.153846154,0.153846154,0,0,0,0,0,0.076923077,0,0,0,0,BCC,605,6.490520543,1.167895687,-14.29585802,0.163511757,6.461538468,14.23307239,1388.790771,1.382691375,0.45989978,1.673076925
0,0,0,0,0.196078431,0,0,0,0,0.196078431,0,0.196078431,0.196078431,0.196078431,0,0,0,0,0.019607843,0,0,0,0,0,BCC,569,5.918861199,1.169378332,-13.31795457,0.12190182,7.156862731,13.92164696,1431.964703,1.496874534,0.35661243,1.431764703
0,0,0,0,0.19047619,0,0,0,0,0.19047619,0,0.19047619,0.19047619,0.19047619,0,0,0,0,0.047619048,0,0,0,0,0,BCC + Im,668,6.098683254,1.169144734,-14.65759634,0.123615232,7.09523808,14.33614643,1461.822855,1.4297642,0.364219353,1.428571426
0,0,0,0,0.181818182,0,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0.090909091,0,0,0,0,0,BCC + Im,747,6.331848466,1.168785234,-16.52892565,0.125829479,7.000000007,14.69798669,1507.967274,1.340927014,0.375390957,1.423636365
0,0,0,0,0.173913043,0,0,0,0,0.173913043,0,0.173913043,0.173913043,0.173913043,0,0,0,0,0.130434783,0,0,0,0,0,BCC + Im,,6.502441224,1.168458592,-18.02646498,0.127411335,6.913043463,14.8556466,1550.099128,1.277439857,0.384963384,1.419130432
0,0,0,0,0.192307692,0.038461538,0,0,0,0.192307692,0,0.192307692,0.192307692,0.192307692,0,0,0,0,0,0,0,0,0,0,BCC,,6.01849656,1.263554663,-16.39053244,0.120529527,7.076923064,14.22238786,1411.17692,1.224506011,0.385059098,1.532692304
0,0,0,0,0.185185185,0.074074074,0,0,0,0.185185185,0,0.185185185,0.185185185,0.185185185,0,0,0,0,0,0,0,0,0,0,BCC,,6.213811098,1.263996483,-19.83539091,0.120333328,6.962962956,14.5858318,1411.28148,1.037777092,0.41508205,1.624074072
0,0,0,0,0.178571429,0.107142857,0,0,0,0.178571429,0,0.178571429,0.178571429,0.178571429,0,0,0,0,0,0,0,0,0,0,BCC,,6.373344249,1.264408327,-22.7551021,0.120010097,6.857142872,14.77893998,1411.378574,0.916659444,0.442026967,1.708928574
0,0,0,0,0.172413793,0.137931034,0,0,0,0.172413793,0,0.172413793,0.172413793,0.172413793,0,0,0,0,0,0,0,0,0,0,BCC + Im,,6.504079925,1.264793147,-25.23186675,0.119586088,6.758620684,14.87154997,1411.468964,0.831913526,0.466469594,1.787931032
0,0,0,0,0.166666667,0.166666667,0,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,BCC,,6.611299925,1.265153516,-27.33333344,0.119082138,6.66666668,14.89751714,1411.553336,0.769340486,0.488823565,1.86166667
0,0,0,0,0.166666667,0.166666667,0,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,BCC + Im,,6.611299925,1.265153516,-27.33333344,0.119082138,6.66666668,14.89751714,1411.553336,0.769340486,0.488823565,1.86166667
0,0,0,0,0.035087719,0,0,0.087719298,0,0.175438596,0,0.175438596,0.263157895,0.263157895,0,0,0,0,0,0,0,0,0,0,FCC,487,5.341798241,1.198043173,-12.40381651,0.125139503,7.912280698,13.67178163,1550.186665,1.708652619,0.233085005,1.127543858
0,0,0,0,0.032258065,0,0,0.161290323,0,0.161290323,0,0.161290323,0.241935484,0.241935484,0,0,0,0,0,0,0,0,0,0,FCC + Im,717,6.456058978,1.197007219,-16.96149853,0.139486292,7.596774205,13.97057413,1559.687745,1.2846585,0.262520352,1.12854839
0,0,0,0,0.090909091,0,0,0.181818182,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,BCC + Im,,7.044038511,1.196003144,-19.57024797,0.14199872,7.000000007,14.69798669,1526.029092,1.146104807,0.32745774,1.237272729
0,0,0,0,0.181818182,0,0,0.090909091,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,FCC,178,6.717619519,1.196184774,-17.91735541,0.133775438,6.909090916,14.69798669,1434.42182,1.176686644,0.367517745,1.407272729
0,0,0,0,0.181818182,0,0,0.090909091,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0,0,0,0,0,0,0,BCC,178,6.717619519,1.196184774,-17.91735541,0.133775438,6.909090916,14.69798669,1434.42182,1.176686644,0.367517745,1.407272729
